Symbols	upDownList	targetList	upDownCount	RS	whichRS	whichRSList	rankLessThanActual	pValue	pValueCorrected
ELOB	[1, 1, 1, 1, 1, 1, 1, 1]	['MDC1', 'BRCA1', 'FANCD2', 'ATR', 'ATM', 'RAD51D', 'FANCI', 'CHEK1']	8	986	-1	[ 24 315 155  36 335   1  35  85]	90	0.009	0.1607142857142857
ELOA3D	[1, 1, 1, 1, 1, 1, 1, 1]	['CHEK1', 'FANCD2', 'BRCA1', 'MDC1', 'RAD51D', 'FANCI', 'ATM', 'ATR']	8	986	-1	[ 85 155 315  24   1  35 335  36]	90	0.009	0.1607142857142857
MNAT1	[1, 1, 1, 1, 1, 1, 1, 1]	['MDC1', 'BRCA1', 'FANCD2', 'ATM', 'ATR', 'RAD51D', 'FANCI', 'CHEK1']	8	986	-1	[ 24 315 155 335  36   1  35  85]	90	0.009	0.1607142857142857
ELOA3B	[1, 1, 1, 1, 1, 1, 1, 1]	['CHEK1', 'FANCD2', 'BRCA1', 'MDC1', 'RAD51D', 'FANCI', 'ATM', 'ATR']	8	986	-1	[ 85 155 315  24   1  35 335  36]	90	0.009	0.1607142857142857
ELOA3	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'ATM', 'ATR', 'FANCI', 'CHEK1', 'RAD51D', 'FANCD2']	8	986	-1	[315  24 335  36  35  85   1 155]	90	0.009	0.1607142857142857
ELOA2	[1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'ATM', 'ATR', 'FANCI', 'CHEK1', 'RAD51D', 'FANCD2']	8	986	-1	[315  24 335  36  35  85   1 155]	90	0.009	0.1607142857142857
ELOC	[1, 1, 1, 1, 1, 1, 1, 1]	['MDC1', 'BRCA1', 'FANCD2', 'ATR', 'ATM', 'RAD51D', 'FANCI', 'CHEK1']	8	986	-1	[ 24 315 155  36 335   1  35  85]	90	0.009	0.1607142857142857
ERCC3	[1, 1, 1, 1, 1, 1, 1, 1]	['CHEK1', 'BRCA1', 'MDC1', 'FANCD2', 'RAD51D', 'ATM', 'ATR', 'FANCI']	8	986	-1	[ 85 315  24 155   1 335  36  35]	90	0.009	0.1607142857142857
STAT3	[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]	['CCND1', 'CCND3', 'FOXO1', 'FOXO3', 'TP63', 'TCF7L2', 'VDR', 'TWIST1', 'IL23A', 'IL23R', 'IL12A', 'ESR2', 'ETV6', 'CTNNB1', 'PPARA', 'SALL4', 'VEGFA', 'CEBPB', 'CEBPD', 'EGFR', 'DDIT3', 'PAX3', 'IL2', 'FOS', 'TGFB1', 'ZFP36', 'TNF', 'MYC', 'HIF1A', 'STAT1', 'POU2F1', 'PRDM1', 'CDKN1A', 'NANOG', 'ZEB1', 'JAK2', 'PTGS2', 'AKT1', 'TYK2', 'IL10', 'RORA', 'TP53', 'IRF4', 'IRF1', 'TERT', 'DNMT1', 'BCL6', 'BCL2', 'SOX2', 'JUNB']	50	10151	+1	"[182 369  13 194 262  22 236 350 351 164  11  74 204 158  51 402 259 335
  79  75 244 140 343   1 260 268 197  53  16 217 170 333 238 319 142 311
 363  32 301 114 304 247 155 163 212 384 283  30 271 249]"	120	0.012	0.16086956521739132
CTNNB1	[1, 1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 1]	['LEF1', 'CCND1', 'TCF7L2', 'TCF7', 'KLK3', 'PPARD', 'SALL4', 'MMP7', 'RB1', 'MITF', 'CDKN2A', 'JUN', 'MYC', 'TP53', 'SNAI2']	15	2454	+1	[225 182  22  33 132 215  51  65 172 245 260  18 286 299 249]	136	0.0136	0.16086956521739132
GTF2F2	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'RAD51D', 'ATM', 'ATR', 'FANCI', 'MYB', 'CHEK1', 'FANCD2']	9	1244	-1	[315  24   1 335  36  35 258  85 155]	146	0.0146	0.16086956521739132
CCNT1	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['RAD51D', 'BRCA1', 'FANCI', 'MYB', 'ATR', 'ATM', 'CHEK1', 'FANCD2', 'MDC1']	9	1244	-1	[  1 315  35 258  36 335  85 155  24]	146	0.0146	0.16086956521739132
POLR2J	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	146	0.0146	0.16086956521739132
GTF2F1	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'RAD51D', 'ATR', 'ATM', 'FANCI', 'MYB', 'CHEK1', 'FANCD2']	9	1244	-1	[315  24   1  36 335  35 258  85 155]	146	0.0146	0.16086956521739132
POLR2K	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	146	0.0146	0.16086956521739132
POLR2A	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	146	0.0146	0.16086956521739132
POLR2B	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	146	0.0146	0.16086956521739132
POLR2L	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	146	0.0146	0.16086956521739132
POLR2C	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	146	0.0146	0.16086956521739132
POLR2G	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35  36 335   1  85]	146	0.0146	0.16086956521739132
CDK9	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['ATM', 'ATR', 'RAD51D', 'MYB', 'FANCI', 'CHEK1', 'MDC1', 'BRCA1', 'FANCD2']	9	1244	-1	[335  36   1 258  35  85  24 315 155]	146	0.0146	0.16086956521739132
POLR2D	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	146	0.0146	0.16086956521739132
POLR2E	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35  36 335   1  85]	146	0.0146	0.16086956521739132
POLR2I	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35  36 335   1  85]	146	0.0146	0.16086956521739132
POLR2H	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35  36 335   1  85]	146	0.0146	0.16086956521739132
GTF2H2	[1, -1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MYC', 'MDC1', 'RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'FANCD2']	9	1246	-1	[315  24   1  36 335  35  85 155 260]	148	0.0148	0.16086956521739132
ELL	[-1, 1, 1, 1, 1, 1, 1, 1, -1, 1]	['E2F1', 'FANCD2', 'MDC1', 'BRCA1', 'ATM', 'ATR', 'FANCI', 'CHEK1', 'CDKN1A', 'RAD51D']	10	1453	-1	[155  24 315 335  36  35  85   1 250 217]	156	0.0156	0.16595744680851063
NELFCD	[1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1]	['CDKN1A', 'CCND1', 'MDC1', 'CTNNB1', 'FANCD2', 'ATR', 'ATM', 'RAD51D', 'BRCA1', 'CHEK1', 'FANCI']	11	1659	-1	[287  24 155  36 335   1 315  85  35 182 204]	172	0.0172	0.17916666666666667
SSRP1	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'FANCD2', 'RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'CDKN1A']	9	1273	-1	[315  24 155   1  36 335  35  85 287]	181	0.0181	0.18469387755102043
POLR2F	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYC', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	10	1488	-1	[155 315  24 244 258  35  36 335   1  85]	194	0.0194	0.194
ERCC2	[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]	['CHEK1', 'CDKN1A', 'BCL2', 'TP53', 'BRCA1', 'MDC1', 'FANCD2', 'RAD51D', 'ATM', 'ATR', 'FANCI']	11	1677	-1	[ 85 287 249 315  24 155   1 335  36  35 155]	198	0.0198	0.19411764705882356
FANCD2	[1, 1, 1, -1, 1, 1, 1, 1, 1]	['ATR', 'ATM', 'FANCI', 'CDKN2A', 'RAD51D', 'CHEK1', 'BRCA1', 'MDC1', 'E2F1']	9	1290	-1	[ 36 335  35   1  85 315  24 254 205]	207	0.0207	0.19903846153846155
ATR	[1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'MDC1', 'BRCA1', 'RAD51D', 'ATM', 'FANCI', 'CHEK1']	7	950	-1	[155  24 315   1 335  35  85]	285	0.0285	0.2657407407407407
FANCI	[1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'ATM', 'ATR', 'CHEK1', 'RAD51D']	7	951	-1	[155 315  24 335  36  85   1]	287	0.0287	0.2657407407407407
CHEK1	[-1, 1, 1, 1, 1, 1, 1, 1]	['TP53', 'FANCD2', 'MDC1', 'RAD51D', 'BRCA1', 'ATM', 'ATR', 'FANCI']	8	1156	-1	[155  24   1 315 335  36  35 255]	321	0.0321	0.28660714285714284
MDC1	[1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'RAD51D', 'FANCD2']	7	962	-1	[315  36 335  35  85   1 155]	321	0.0321	0.28660714285714284
ATM	[-1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, -1]	['VEGFA', 'FANCD2', 'MDC1', 'FOXM1', 'BRCA1', 'RAD51D', 'SP1', 'E2F1', 'ATR', 'FANCI', 'CHEK1', 'BCL2']	12	1989	-1	[155  24 263 315   1 254  36  35  85 402 264 155]	332	0.0332	0.2912280701754386
MYCN	[1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1]	['MCM5', 'MCM6', 'E2F1', 'E2F2', 'E2F3', 'CIITA', 'ABCB1', 'HDAC2', 'MYBL2', 'CDKN1A', 'TP53']	11	1793	-1	[ 93 100 254 175 173  11 156 287 249 115 180]	368	0.0368	0.31186440677966104
RAD51D	[1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'ATM', 'ATR', 'BRCA1', 'MDC1', 'CHEK1', 'FANCI']	7	985	-1	[155 335  36 315  24  85  35]	368	0.0368	0.31186440677966104
NFATC2	[1, 1, 1, 1, 1, 1, 1]	['TNF', 'NR4A1', 'PTGS2', 'IL13', 'NFATC1', 'BCL2', 'IL2RA']	7	1030	+1	[  1 144 319 185  67 155 159]	515	0.0515	0.42377049180327875
FST	[1, 1, 1]	['TCF7L2', 'GLI2', 'CTNNB1']	3	276	+1	[ 22  50 204]	517	0.0517	0.42377049180327875
IGFBP6	[1, -1, -1]	['GLI1', 'TCF7L2', 'CTNNB1']	3	318	-1	[ 92  22 204]	796	0.0796	0.6419354838709678
GCLC	[1, -1, -1]	['NFE2L2', 'SMAD3', 'ATF3']	3	325	+1	[ 26 212  87]	834	0.0834	0.65234375
JUN	[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1]	['TCF7L2', 'KLK3', 'VEGFA', 'ABCB1', 'CCND1', 'CDK1', 'CREM', 'FOSL1', 'FOSL2', 'EDN1', 'EGFR', 'EGR1', 'BRCA1', 'IL2RA', 'PGR', 'MYC', 'IL23A', 'IL12B', 'MMP7', 'IL2', 'E2F1', 'E2F4', 'PPARD', 'ESR1', 'ETS1', 'VDR', 'NR3C1', 'MMP13', 'TNF', 'RARA', 'TGFB1', 'MYB', 'IL4', 'HES1', 'HEY1', 'MEF2D', 'CDKN1A', 'CTNNB1', 'SMAD7', 'SMAD3', 'SMAD4', 'IL10', 'IL13', 'DDIT3', 'TP53', 'TERT', 'ATF3', 'SPI1', 'PTGS2', 'CDKN2A']	50	10907	+1	"[ 22 132 180 182 339 122 107 143 477  79 196 189 159 350 231  65 250 146
 215 199 145 120 220 357   1 140 246 177  77 318 151 204 207 292 200 311
 185 221 417 168 319 205 102 388 244 429 354 287 249 390]"	835	0.0835	0.65234375
EPAS1	[1, 1, 1, 1, 1, 1, 1]	['SOX2', 'VEGFA', 'TWIST1', 'MSC', 'POU5F1', 'CITED2', 'NANOG']	7	1112	+1	[163 402 236  27  58  56 170]	852	0.0852	0.6553846153846153
DDIT3	[-1, -1, -1, -1, -1]	['CEBPA', 'SIRT1', 'ANKRD1', 'ATF2', 'ATF5']	5	725	+1	[262  79  86 261  37]	991	0.0991	0.7507575757575756
CCND2	[1, 1, -1, -1]	['MYC', 'GLI1', 'FOXO3', 'FOXO1']	4	543	-1	[244  92 194  13]	1068	0.1068	0.7914285714285714
CITED2	[-1, 1, 1]	['MMP13', 'FOXO3', 'FOXO1']	3	354	+1	[194  13 147]	1080	0.108	0.7914285714285714
NFATC3	[1, 1, 1, 1]	['TNF', 'PTGS2', 'NFATC1', 'IL2RA']	4	546	+1	[  1 319  67 159]	1100	0.11	0.7914285714285714
PLTP	[1, 1, 1]	['GLI1', 'NR1H2', 'NR1H3']	3	356	-1	[ 92  90 174]	1108	0.1108	0.7914285714285714
TCF7L2	[1, 1, 1, 1]	['MYC', 'SALL4', 'LEF1', 'TCF7']	4	569	+1	[260  51 225  33]	1301	0.1301	0.9061643835616439
TFDP1	[1, 1, 1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1]	['CCND3', 'E2F2', 'SIRT1', 'EZH2', 'RBBP4', 'PCNA', 'RB1', 'HIC1', 'CDKN1A', 'TP53', 'BRCA1', 'MYBL2', 'TP73', 'CDK1']	14	2741	-1	[135 175  79 269  23 286 368 287 156 306 165  48 255 189]	1319	0.1319	0.9061643835616439
HDAC1	[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]	['SPP1', 'CDK1', 'TP53', 'KLF4', 'TERT', 'ABCB1', 'KLK3', 'PTGS2', 'EGFR', 'EGR1', 'E2F1', 'IL2', 'FOS', 'ESR1', 'PCNA', 'SP1', 'HES1', 'CDKN1A', 'MYBL2', 'SNAI2']	20	4084	-1	"[185 174 339 255 257 114 180 132  79 196 250  75 244 199 481 264  77 217
 348  18]"	1323	0.1323	0.9061643835616439
PAX6	[-1, 1, 1, 1]	['SMAD3', 'MET', 'INS', 'PROX1']	4	584	+1	[298  46  28 212]	1458	0.1458	0.9806666666666668
ABCA1	[1, 1, -1, -1]	['NR1H2', 'NR1H3', 'GLI2', 'SREBF2']	4	586	-1	[ 90 174  50 272]	1471	0.1471	0.9806666666666668
HES1	[-1, 1, 1, -1, 1]	['E2F1', 'NOTCH1', 'NOTCH4', 'ASCL1', 'RBPJ']	5	793	+1	[227  78 229 254   5]	1526	0.1526	0.9964435146443515
IL10	[-1, -1, -1]	['IL12A', 'IL12B', 'TNF']	3	396	-1	[164 231   1]	1550	0.155	0.9964435146443515
BIRC7	[1, 1, 1]	['TCF7L2', 'MITF', 'CTNNB1']	3	398	+1	[ 22 172 204]	1572	0.1572	0.9964435146443515
AKT1	[1, 1, 1, 1]	['TERT', 'TCF7L2', 'CTNNB1', 'MYC']	4	600	+1	[114  22 204 260]	1617	0.1617	0.9964435146443515
DCT	[1, 1, -1, 1, 1]	['LEF1', 'CTNNB1', 'PAX3', 'MITF', 'CREB1']	5	807	+1	[225 204 172 176  30]	1658	0.1658	0.9964435146443515
EDN1	[1, 1, 1, 1, 1]	['TCF7L2', 'JUN', 'CTNNB1', 'SMAD3', 'GLI2']	5	813	+1	[ 22 245 204 292  50]	1709	0.1709	0.9964435146443515
FOS	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, -1, -1, 1, 1, -1]	['CBFB', 'CDK1', 'TCF7L2', 'NFKB1', 'FOSL1', 'FOSL2', 'CREM', 'EDN1', 'AR', 'IL2RA', 'MYC', 'STAT1', 'STAT3', 'ESR1', 'ETS1', 'IL2', 'IL4', 'JUN', 'TGFB1', 'NR3C1', 'SPI1', 'SMAD7', 'IL13', 'TP53', 'TERT', 'DDIT3', 'PTGS2', 'CCND1']	28	6034	+1	"[ 38 339  22 107 143 122 477 276 159 197 237 199 145  75 177 245 140 220
 207 185 221 319 243 244 336 249 390 322]"	1739	0.1739	0.9964435146443515
SATB1	[1, 1, 1, 1, 1]	['FOXO3', 'IL4', 'BCL2', 'SPI1', 'GATA3']	5	825	+1	[194 177 155 168 131]	1825	0.1825	0.9964435146443515
NCOR1	[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]	['ARNTL', 'CLOCK', 'ESR1', 'NR1D1', 'AR', 'MYC', 'NPAS2', 'PPARGC1A', 'PPARG', 'HES1', 'SNAI2']	11	2143	-1	[228 302 308 199  23 260 313 214 201  77  18]	1858	0.1858	0.9964435146443515
EZH2	[1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1]	['CCND1', 'SATB1', 'MYC', 'APC', 'CDKN1A', 'CDKN2A', 'SNAI2', 'PCNA', 'HDAC1', 'CIITA', 'TP53', 'RUNX3', 'TWIST1']	13	2598	-1	[322  23 157 260 296 217 205  18 219 115 255 275 236]	1863	0.1863	0.9964435146443515
SOX2	[1, 1, 1]	['NANOG', 'FOXD3', 'STAT3']	3	422	+1	[170  15 237]	1887	0.1887	0.9964435146443515
CD44	[1, 1, 1]	['CTNNB1', 'EGR1', 'TCF7L2']	3	422	+1	[204 196  22]	1887	0.1887	0.9964435146443515
TBX21	[-1, -1, -1]	['IL13', 'YY1', 'IL4']	3	424	-1	[185  62 177]	1908	0.1908	0.9964435146443515
CDKN2A	[-1, -1, -1, 1, 1, 1, 1, -1, 1]	['KLK3', 'MITF', 'VDR', 'E2F3', 'E2F1', 'E2F2', 'HBP1', 'CDKN1A', 'MYC']	9	1701	-1	[173 254 175 214 244 132 172 120 217]	1935	0.1935	0.9964435146443515
ELK1	[1, 1, 1, 1, 1]	['FOSL1', 'EGR1', 'FOS', 'EZH2', 'CITED2']	5	838	+1	[107 196 244 235  56]	1966	0.1966	0.9964435146443515
RBL2	[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1]	['CDC6', 'CDK1', 'E2F1', 'FOXO4', 'BRCA1', 'PCNA', 'RBL1', 'RAD51', 'CDC25A', 'MYBL2']	10	1938	+1	[141 158 165 254 315  23 385 143 198 156]	1996	0.1996	0.9964435146443515
MYBL2	[-1, 1, -1, 1]	['TCF7L2', 'CDK1', 'CTNNB1', 'MYC']	4	635	-1	[165 244  22 204]	2001	0.2001	0.9964435146443515
HIPK2	[-1, -1, -1, 1]	['HIF1A', 'VEGFA', 'MEF2C', 'CDKN1A']	4	638	+1	[217 236 102  83]	2038	0.2038	0.9964435146443515
PPARGC1A	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['CEBPA', 'NRF1', 'NR1D1', 'ARNTL', 'FOXO4', 'FOXO3', 'FOXO1', 'ESRRA', 'RUNX2', 'GABPA']	10	1952	+1	[242 216  23 302 141 194  13 160 336 325]	2103	0.2103	0.9964435146443515
ATF2	[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['DDIT3', 'KAT5', 'HES1', 'RELA', 'SERPINB5', 'ATF3', 'BCL2', 'CBFB', 'CCND1', 'IL23A', 'ESR1', 'INS', 'JUN', 'RB1', 'TNF', 'PPARGC1A']	16	3332	+1	[221  77 252 403 417 155  38 182 350 199  46 245 218   1 214 314]	2135	0.2135	0.9964435146443515
NR2F2	[-1, -1, 1, -1]	['PPARG', 'POU5F1', 'TFAP2A', 'TERT']	4	647	-1	[274 201  58 114]	2170	0.217	0.9964435146443515
YBX1	[1, -1, 1, 1]	['EGFR', 'MMP13', 'MYCN', 'MET']	4	650	+1	[ 79 126 298 147]	2216	0.2216	0.9964435146443515
