Symbols	upDownList	targetList	upDownCount	RS	whichRS	whichRSList	rankLessThanActual	pValue	pValueCorrected
NELFB	[1, 1, 1, 1, 1, 1, 1, 1]	['RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'FANCD2', 'BRCA1', 'MDC1']	8	986	-1	[  1  36 335  35  85 155 315  24]	100	0.01	0.17857142857142858
NELFA	[1, 1, 1, 1, 1, 1, 1, 1]	['RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'FANCD2', 'BRCA1', 'MDC1']	8	986	-1	[  1  36 335  35  85 155 315  24]	100	0.01	0.17857142857142858
STAT3	[1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]	['CCND1', 'CCND3', 'FOXO1', 'FOXO3', 'TP63', 'TCF7L2', 'VDR', 'TWIST1', 'IL23A', 'IL23R', 'IL12A', 'ESR2', 'ETV6', 'CTNNB1', 'PPARA', 'SALL4', 'VEGFA', 'CEBPB', 'CEBPD', 'EGFR', 'DDIT3', 'PAX3', 'IL2', 'FOS', 'TGFB1', 'ZFP36', 'TNF', 'MYC', 'HIF1A', 'STAT1', 'POU2F1', 'PRDM1', 'CDKN1A', 'NANOG', 'ZEB1', 'JAK2', 'PTGS2', 'AKT1', 'TYK2', 'IL10', 'RORA', 'TP53', 'IRF4', 'IRF1', 'TERT', 'DNMT1', 'BCL6', 'BCL2', 'SOX2', 'JUNB']	50	10151	+1	"[182 369  13 194 262  22 236 350 351 164  11  74 204 158  51 402 259 335
  79  75 244 140 343   1 260 268 197  53  16 217 170 333 238 319 142 311
 363  32 301 114 304 247 155 163 212 384 283  30 271 249]"	138	0.0138	0.18
CTNNB1	[1, 1, 1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, -1, 1]	['LEF1', 'CCND1', 'TCF7L2', 'TCF7', 'KLK3', 'PPARD', 'SALL4', 'MMP7', 'RB1', 'MITF', 'CDKN2A', 'JUN', 'MYC', 'TP53', 'SNAI2']	15	2454	+1	[225 182  22  33 132 215  51  65 172 245 260  18 286 299 249]	152	0.0152	0.18
GTF2F1	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'RAD51D', 'ATR', 'ATM', 'FANCI', 'MYB', 'CHEK1', 'FANCD2']	9	1244	-1	[315  24   1  36 335  35 258  85 155]	162	0.0162	0.18
POLR2I	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35  36 335   1  85]	162	0.0162	0.18
GTF2F2	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'RAD51D', 'ATM', 'ATR', 'FANCI', 'MYB', 'CHEK1', 'FANCD2']	9	1244	-1	[315  24   1 335  36  35 258  85 155]	162	0.0162	0.18
POLR2J	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	162	0.0162	0.18
POLR2H	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35  36 335   1  85]	162	0.0162	0.18
POLR2K	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	162	0.0162	0.18
POLR2L	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	162	0.0162	0.18
CCNT1	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['RAD51D', 'BRCA1', 'FANCI', 'MYB', 'ATR', 'ATM', 'CHEK1', 'FANCD2', 'MDC1']	9	1244	-1	[  1 315  35 258  36 335  85 155  24]	162	0.0162	0.18
CDK9	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['ATM', 'ATR', 'RAD51D', 'MYB', 'FANCI', 'CHEK1', 'MDC1', 'BRCA1', 'FANCD2']	9	1244	-1	[335  36   1 258  35  85  24 315 155]	162	0.0162	0.18
POLR2A	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	162	0.0162	0.18
POLR2E	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35  36 335   1  85]	162	0.0162	0.18
POLR2B	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	162	0.0162	0.18
POLR2C	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	162	0.0162	0.18
POLR2D	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATM', 'ATR', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35 335  36   1  85]	162	0.0162	0.18
POLR2G	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	9	1244	-1	[155 315  24 258  35  36 335   1  85]	162	0.0162	0.18
GTF2H2	[1, -1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MYC', 'MDC1', 'RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'FANCD2']	9	1246	-1	[315  24   1  36 335  35  85 155 260]	168	0.0168	0.1826086956521739
ELL	[-1, 1, 1, 1, 1, 1, 1, 1, -1, 1]	['E2F1', 'FANCD2', 'MDC1', 'BRCA1', 'ATM', 'ATR', 'FANCI', 'CHEK1', 'CDKN1A', 'RAD51D']	10	1453	-1	[155  24 315 335  36  35  85   1 250 217]	178	0.0178	0.18749999999999997
NELFCD	[1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1]	['CDKN1A', 'CCND1', 'MDC1', 'CTNNB1', 'FANCD2', 'ATR', 'ATM', 'RAD51D', 'BRCA1', 'CHEK1', 'FANCI']	11	1659	-1	[287  24 155  36 335   1 315  85  35 182 204]	180	0.018	0.18749999999999997
ERCC2	[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1]	['CHEK1', 'CDKN1A', 'BCL2', 'TP53', 'BRCA1', 'MDC1', 'FANCD2', 'RAD51D', 'ATM', 'ATR', 'FANCI']	11	1677	-1	[ 85 287 249 315  24 155   1 335  36  35 155]	195	0.0195	0.1989795918367347
SSRP1	[1, 1, 1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'MDC1', 'FANCD2', 'RAD51D', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'CDKN1A']	9	1273	-1	[315  24 155   1  36 335  35  85 287]	204	0.0204	0.20400000000000001
FANCD2	[1, 1, 1, -1, 1, 1, 1, 1, 1]	['ATR', 'ATM', 'FANCI', 'CDKN2A', 'RAD51D', 'CHEK1', 'BRCA1', 'MDC1', 'E2F1']	9	1290	-1	[ 36 335  35   1  85 315  24 254 205]	224	0.0224	0.21960784313725493
POLR2F	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'MYC', 'MYB', 'FANCI', 'ATR', 'ATM', 'RAD51D', 'CHEK1']	10	1488	-1	[155 315  24 244 258  35  36 335   1  85]	236	0.0236	0.22692307692307692
ATR	[1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'MDC1', 'BRCA1', 'RAD51D', 'ATM', 'FANCI', 'CHEK1']	7	950	-1	[155  24 315   1 335  35  85]	296	0.0296	0.275
FANCI	[1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'BRCA1', 'MDC1', 'ATM', 'ATR', 'CHEK1', 'RAD51D']	7	951	-1	[155 315  24 335  36  85   1]	297	0.0297	0.275
MDC1	[1, 1, 1, 1, 1, 1, 1]	['BRCA1', 'ATR', 'ATM', 'FANCI', 'CHEK1', 'RAD51D', 'FANCD2']	7	962	-1	[315  36 335  35  85   1 155]	325	0.0325	0.29374999999999996
CHEK1	[-1, 1, 1, 1, 1, 1, 1, 1]	['TP53', 'FANCD2', 'MDC1', 'RAD51D', 'BRCA1', 'ATM', 'ATR', 'FANCI']	8	1156	-1	[155  24   1 315 335  36  35 255]	329	0.0329	0.29374999999999996
ATM	[-1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, -1]	['VEGFA', 'FANCD2', 'MDC1', 'FOXM1', 'BRCA1', 'RAD51D', 'SP1', 'E2F1', 'ATR', 'FANCI', 'CHEK1', 'BCL2']	12	1989	-1	[155  24 263 315   1 254  36  35  85 402 264 155]	357	0.0357	0.31315789473684214
RAD51D	[1, 1, 1, 1, 1, 1, 1]	['FANCD2', 'ATM', 'ATR', 'BRCA1', 'MDC1', 'CHEK1', 'FANCI']	7	985	-1	[155 335  36 315  24  85  35]	396	0.0396	0.3413793103448276
MYCN	[1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1]	['MCM5', 'MCM6', 'E2F1', 'E2F2', 'E2F3', 'CIITA', 'ABCB1', 'HDAC2', 'MYBL2', 'CDKN1A', 'TP53']	11	1793	-1	[ 93 100 254 175 173  11 156 287 249 115 180]	414	0.0414	0.35084745762711866
NFATC2	[1, 1, 1, 1, 1, 1, 1]	['TNF', 'NR4A1', 'PTGS2', 'IL13', 'NFATC1', 'BCL2', 'IL2RA']	7	1030	+1	[  1 144 319 185  67 155 159]	530	0.053	0.44166666666666665
FST	[1, 1, 1]	['TCF7L2', 'GLI2', 'CTNNB1']	3	276	+1	[ 22  50 204]	564	0.0564	0.46229508196721314
JUN	[1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, -1, -1, 1, 1, 1, 1]	['TCF7L2', 'KLK3', 'VEGFA', 'ABCB1', 'CCND1', 'CDK1', 'CREM', 'FOSL1', 'FOSL2', 'EDN1', 'EGFR', 'EGR1', 'BRCA1', 'IL2RA', 'PGR', 'MYC', 'IL23A', 'IL12B', 'MMP7', 'IL2', 'E2F1', 'E2F4', 'PPARD', 'ESR1', 'ETS1', 'VDR', 'NR3C1', 'MMP13', 'TNF', 'RARA', 'TGFB1', 'MYB', 'IL4', 'HES1', 'HEY1', 'MEF2D', 'CDKN1A', 'CTNNB1', 'SMAD7', 'SMAD3', 'SMAD4', 'IL10', 'IL13', 'DDIT3', 'TP53', 'TERT', 'ATF3', 'SPI1', 'PTGS2', 'CDKN2A']	50	10907	+1	"[ 22 132 180 182 339 122 107 143 477  79 196 189 159 350 231  65 250 146
 215 199 145 120 220 357   1 140 246 177  77 318 151 204 207 292 200 311
 185 221 417 168 319 205 102 388 244 429 354 287 249 390]"	834	0.0834	0.6725806451612903
IGFBP6	[1, -1, -1]	['GLI1', 'TCF7L2', 'CTNNB1']	3	318	-1	[ 92  22 204]	860	0.086	0.6825396825396824
EPAS1	[1, 1, 1, 1, 1, 1, 1]	['SOX2', 'VEGFA', 'TWIST1', 'MSC', 'POU5F1', 'CITED2', 'NANOG']	7	1112	+1	[163 402 236  27  58  56 170]	879	0.0879	0.68671875
GCLC	[1, -1, -1]	['NFE2L2', 'SMAD3', 'ATF3']	3	325	+1	[ 26 212  87]	908	0.0908	0.6984615384615385
DDIT3	[-1, -1, -1, -1, -1]	['CEBPA', 'SIRT1', 'ANKRD1', 'ATF2', 'ATF5']	5	725	+1	[262  79  86 261  37]	950	0.095	0.7196969696969697
CCND2	[1, 1, -1, -1]	['MYC', 'GLI1', 'FOXO3', 'FOXO1']	4	543	-1	[244  92 194  13]	1114	0.1114	0.8313432835820895
NFATC3	[1, 1, 1, 1]	['TNF', 'PTGS2', 'NFATC1', 'IL2RA']	4	546	+1	[  1 319  67 159]	1141	0.1141	0.838970588235294
CITED2	[-1, 1, 1]	['MMP13', 'FOXO3', 'FOXO1']	3	354	+1	[194  13 147]	1181	0.1181	0.8557142857142856
PLTP	[1, 1, 1]	['GLI1', 'NR1H2', 'NR1H3']	3	356	-1	[ 92  90 174]	1198	0.1198	0.8557142857142856
TCF7L2	[1, 1, 1, 1]	['MYC', 'SALL4', 'LEF1', 'TCF7']	4	569	+1	[260  51 225  33]	1343	0.1343	0.945774647887324
HDAC1	[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]	['SPP1', 'CDK1', 'TP53', 'KLF4', 'TERT', 'ABCB1', 'KLK3', 'PTGS2', 'EGFR', 'EGR1', 'E2F1', 'IL2', 'FOS', 'ESR1', 'PCNA', 'SP1', 'HES1', 'CDKN1A', 'MYBL2', 'SNAI2']	20	4084	-1	"[185 174 339 255 257 114 180 132  79 196 250  75 244 199 481 264  77 217
 348  18]"	1391	0.1391	0.9659722222222223
HES1	[-1, 1, 1, -1, 1]	['E2F1', 'NOTCH1', 'NOTCH4', 'ASCL1', 'RBPJ']	5	793	+1	[227  78 229 254   5]	1468	0.1468	0.9901315789473684
PAX6	[-1, 1, 1, 1]	['SMAD3', 'MET', 'INS', 'PROX1']	4	584	+1	[298  46  28 212]	1476	0.1476	0.9901315789473684
TFDP1	[1, 1, 1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, 1]	['CCND3', 'E2F2', 'SIRT1', 'EZH2', 'RBBP4', 'PCNA', 'RB1', 'HIC1', 'CDKN1A', 'TP53', 'BRCA1', 'MYBL2', 'TP73', 'CDK1']	14	2741	-1	[135 175  79 269  23 286 368 287 156 306 165  48 255 189]	1500	0.15	0.9901315789473684
ABCA1	[1, 1, -1, -1]	['NR1H2', 'NR1H3', 'GLI2', 'SREBF2']	4	586	-1	[ 90 174  50 272]	1505	0.1505	0.9901315789473684
DCT	[1, 1, -1, 1, 1]	['LEF1', 'CTNNB1', 'PAX3', 'MITF', 'CREB1']	5	807	+1	[225 204 172 176  30]	1590	0.159	0.997289156626506
IL10	[-1, -1, -1]	['IL12A', 'IL12B', 'TNF']	3	396	-1	[164 231   1]	1607	0.1607	0.997289156626506
BIRC7	[1, 1, 1]	['TCF7L2', 'MITF', 'CTNNB1']	3	398	+1	[ 22 172 204]	1631	0.1631	0.997289156626506
EDN1	[1, 1, 1, 1, 1]	['TCF7L2', 'JUN', 'CTNNB1', 'SMAD3', 'GLI2']	5	813	+1	[ 22 245 204 292  50]	1655	0.1655	0.997289156626506
AKT1	[1, 1, 1, 1]	['TERT', 'TCF7L2', 'CTNNB1', 'MYC']	4	600	+1	[114  22 204 260]	1664	0.1664	0.997289156626506
FOS	[1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, -1, -1, 1, 1, -1]	['CBFB', 'CDK1', 'TCF7L2', 'NFKB1', 'FOSL1', 'FOSL2', 'CREM', 'EDN1', 'AR', 'IL2RA', 'MYC', 'STAT1', 'STAT3', 'ESR1', 'ETS1', 'IL2', 'IL4', 'JUN', 'TGFB1', 'NR3C1', 'SPI1', 'SMAD7', 'IL13', 'TP53', 'TERT', 'DDIT3', 'PTGS2', 'CCND1']	28	6034	+1	"[ 38 339  22 107 143 122 477 276 159 197 237 199 145  75 177 245 140 220
 207 185 221 319 243 244 336 249 390 322]"	1721	0.1721	0.997289156626506
SATB1	[1, 1, 1, 1, 1]	['FOXO3', 'IL4', 'BCL2', 'SPI1', 'GATA3']	5	825	+1	[194 177 155 168 131]	1803	0.1803	0.997289156626506
CD44	[1, 1, 1]	['CTNNB1', 'EGR1', 'TCF7L2']	3	422	+1	[204 196  22]	1932	0.1932	0.997289156626506
SOX2	[1, 1, 1]	['NANOG', 'FOXD3', 'STAT3']	3	422	+1	[170  15 237]	1932	0.1932	0.997289156626506
ELK1	[1, 1, 1, 1, 1]	['FOSL1', 'EGR1', 'FOS', 'EZH2', 'CITED2']	5	838	+1	[107 196 244 235  56]	1933	0.1933	0.997289156626506
NCOR1	[-1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1]	['ARNTL', 'CLOCK', 'ESR1', 'NR1D1', 'AR', 'MYC', 'NPAS2', 'PPARGC1A', 'PPARG', 'HES1', 'SNAI2']	11	2143	-1	[228 302 308 199  23 260 313 214 201  77  18]	1957	0.1957	0.997289156626506
TBX21	[-1, -1, -1]	['IL13', 'YY1', 'IL4']	3	424	-1	[185  62 177]	1960	0.196	0.997289156626506
CDKN2A	[-1, -1, -1, 1, 1, 1, 1, -1, 1]	['KLK3', 'MITF', 'VDR', 'E2F3', 'E2F1', 'E2F2', 'HBP1', 'CDKN1A', 'MYC']	9	1701	-1	[173 254 175 214 244 132 172 120 217]	1963	0.1963	0.997289156626506
EZH2	[1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1]	['CCND1', 'SATB1', 'MYC', 'APC', 'CDKN1A', 'CDKN2A', 'SNAI2', 'PCNA', 'HDAC1', 'CIITA', 'TP53', 'RUNX3', 'TWIST1']	13	2598	-1	[322  23 157 260 296 217 205  18 219 115 255 275 236]	1985	0.1985	0.997289156626506
MYBL2	[-1, 1, -1, 1]	['TCF7L2', 'CDK1', 'CTNNB1', 'MYC']	4	635	-1	[165 244  22 204]	2065	0.2065	0.997289156626506
RBL2	[-1, -1, -1, 1, -1, -1, -1, -1, -1, -1]	['CDC6', 'CDK1', 'E2F1', 'FOXO4', 'BRCA1', 'PCNA', 'RBL1', 'RAD51', 'CDC25A', 'MYBL2']	10	1938	+1	[141 158 165 254 315  23 385 143 198 156]	2086	0.2086	0.997289156626506
HIPK2	[-1, -1, -1, 1]	['HIF1A', 'VEGFA', 'MEF2C', 'CDKN1A']	4	638	+1	[217 236 102  83]	2107	0.2107	0.997289156626506
PPARGC1A	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['CEBPA', 'NRF1', 'NR1D1', 'ARNTL', 'FOXO4', 'FOXO3', 'FOXO1', 'ESRRA', 'RUNX2', 'GABPA']	10	1952	+1	[242 216  23 302 141 194  13 160 336 325]	2188	0.2188	0.997289156626506
NR2F2	[-1, -1, 1, -1]	['PPARG', 'POU5F1', 'TFAP2A', 'TERT']	4	647	-1	[274 201  58 114]	2211	0.2211	0.997289156626506
PARP1	[-1, 1, -1, 1, -1]	['FOXO1', 'ZEB1', 'BCL2', 'E2F1', 'SNAI1']	5	862	-1	[171 254  13 155 269]	2217	0.2217	0.997289156626506
YBX1	[1, -1, 1, 1]	['EGFR', 'MMP13', 'MYCN', 'MET']	4	650	+1	[ 79 126 298 147]	2250	0.225	0.997289156626506
MSX2	[-1, 1, -1, -1, 1]	['GLI2', 'CTNNB1', 'RUNX2', 'BCL2', 'NKX3-1']	5	866	-1	[300  25  50 336 155]	2278	0.2278	0.997289156626506
ATF2	[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	['DDIT3', 'KAT5', 'HES1', 'RELA', 'SERPINB5', 'ATF3', 'BCL2', 'CBFB', 'CCND1', 'IL23A', 'ESR1', 'INS', 'JUN', 'RB1', 'TNF', 'PPARGC1A']	16	3332	+1	[221  77 252 403 417 155  38 182 350 199  46 245 218   1 214 314]	2279	0.2279	0.997289156626506
